,image,HP,HR,Glass,EV,FV,Glared,S,L
0,C:\Users\nidhimh\Documents\Face\faces\0000000001.jpg,No face detected,No face detected,No face detected,No face detected,No face detected,No face detected,No face detected,No face detected
1,C:\Users\nidhimh\Documents\Face\faces\0000000002.jpg,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces
2,C:\Users\nidhimh\Documents\Face\faces\01.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
3,C:\Users\nidhimh\Documents\Face\faces\01a.jpg,Face is not vertically centred,head is tilted to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
4,C:\Users\nidhimh\Documents\Face\faces\02.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
5,C:\Users\nidhimh\Documents\Face\faces\02a.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
6,C:\Users\nidhimh\Documents\Face\faces\03.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
7,C:\Users\nidhimh\Documents\Face\faces\03b.jpg,Face is not vertically centred,face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
8,C:\Users\nidhimh\Documents\Face\faces\04.jpg,Face is horizontally and vertically centred,head is tilted to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
9,C:\Users\nidhimh\Documents\Face\faces\04a.jpg,Face is horizontally and vertically centred,head is tilted to the side and face is turned to the side,Face has glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
